"CIDADE","UF"
"ABADIA DE GOIAS","GOIAS"
"ABADIA DOS DOURADOS","MINAS GERAIS"
"ABADIANIA","GOIAS"
"ABAETE","MINAS GERAIS"
"ABAETETUBA","PARA"
"ABAIARA","CEARA"
"ABAIRA","BAHIA"
"ABARE","BAHIA"
"ABATIA","PARANA"
"ABDON BATISTA","SANTA CATARINA"
"ABELARDO LUZ","SANTA CATARINA"
"ABEL FIGUEIREDO","PARA"
"ABRE CAMPO","MINAS GERAIS"
"ABREU E LIMA","PERNAMBUCO"
"ABREULANDIA","TOCANTINS"
"ACAIACA","MINAS GERAIS"
"ACAILANDIA","MARANHAO"
"ACAJUTIBA","BAHIA"
"ACARAPE","CEARA"
"ACARA","PARA"
"ACARAU","CEARA"
"ACARI","RIO GRANDE DO NORTE"
"ACAUA","PIAUI"
"ACEGUA","RIO GRANDE DO SUL"
"ACOPIARA","CEARA"
"ACORIZAL","MATO GROSSO"
"ACRELANDIA","ACRE"
"ACREUNA","GOIAS"
"ACUCENA","MINAS GERAIS"
"ACU","RIO GRANDE DO NORTE"
"ADAMANTINA","SAO PAULO"
"ADELANDIA","GOIAS"
"ADOLFO","SAO PAULO"
"ADRIANOPOLIS","PARANA"
"ADUSTINA","BAHIA"
"AFOGADOS DA INGAZEIRA","PERNAMBUCO"
"AFONSO BEZERRA","RIO GRANDE DO NORTE"
"AFONSO CLAUDIO","ESPIRITO SANTO"
"AFONSO CUNHA","MARANHAO"
"AFRANIO","PERNAMBUCO"
"AFUA","PARA"
"AGRESTINA","PERNAMBUCO"
"AGRICOLANDIA","PIAUI"
"AGROLANDIA","SANTA CATARINA"
"AGRONOMICA","SANTA CATARINA"
"AGUA AZUL DO NORTE","PARA"
"AGUA BOA","MATO GROSSO"
"AGUA BOA","MINAS GERAIS"
"AGUA BRANCA","ALAGOAS"
"AGUA BRANCA","PARAIBA"
"AGUA BRANCA","PIAUI"
"AGUA CLARA","MATO GROSSO DO SUL"
"AGUA COMPRIDA","MINAS GERAIS"
"AGUA DOCE DO MARANHAO","MARANHAO"
"AGUA DOCE DO NORTE","ESPIRITO SANTO"
"AGUA DOCE","SANTA CATARINA"
"AGUA FRIA DE GOIAS","GOIAS"
"AGUA FRIA","BAHIA"
"AGUAI","SAO PAULO"
"AGUA LIMPA","GOIAS"
"AGUANIL","MINAS GERAIS"
"AGUA NOVA","RIO GRANDE DO NORTE"
"AGUA PRETA","PERNAMBUCO"
"AGUA SANTA","RIO GRANDE DO SUL"
"AGUAS BELAS","PERNAMBUCO"
"AGUAS DA PRATA","SAO PAULO"
"AGUAS DE CHAPECO","SANTA CATARINA"
"AGUAS DE LINDOIA","SAO PAULO"
"AGUAS DE SANTA BARBARA","SAO PAULO"
"AGUAS DE SAO PEDRO","SAO PAULO"
"AGUAS FORMOSAS","MINAS GERAIS"
"AGUAS FRIAS","SANTA CATARINA"
"AGUAS LINDAS DE GOIAS","GOIAS"
"AGUAS MORNAS","SANTA CATARINA"
"AGUAS VERMELHAS","MINAS GERAIS"
"AGUDOS DO SUL","PARANA"
"AGUDO","RIO GRANDE DO SUL"
"AGUDOS","SAO PAULO"
"AGUIA BRANCA","ESPIRITO SANTO"
"AGUIARNOPOLIS","TOCANTINS"
"AGUIAR","PARAIBA"
"AIMORES","MINAS GERAIS"
"AIQUARA","BAHIA"
"AIUABA","CEARA"
"AIURUOCA","MINAS GERAIS"
"AJURICABA","RIO GRANDE DO SUL"
"ALAGOA GRANDE","PARAIBA"
"ALAGOA NOVA","PARAIBA"
"ALAGOA","MINAS GERAIS"
"ALAGOINHA DO PIAUI","PIAUI"
"ALAGOINHA","PARAIBA"
"ALAGOINHA","PERNAMBUCO"
"ALAGOINHAS","BAHIA"
"ALAMBARI","SAO PAULO"
"ALBERTINA","MINAS GERAIS"
"ALCANTARA","MARANHAO"
"ALCANTARAS","CEARA"
"ALCANTIL","PARAIBA"
"ALCINOPOLIS","MATO GROSSO DO SUL"
"ALCOBACA","BAHIA"
"ALDEIAS ALTAS","MARANHAO"
"ALECRIM","RIO GRANDE DO SUL"
"ALEGRE","ESPIRITO SANTO"
"ALEGRETE DO PIAUI","PIAUI"
"ALEGRETE","RIO GRANDE DO SUL"
"ALEGRIA","RIO GRANDE DO SUL"
"ALEM PARAIBA","MINAS GERAIS"
"ALENQUER","PARA"
"ALEXANDRIA","RIO GRANDE DO NORTE"
"ALEXANIA","GOIAS"
"ALFENAS","MINAS GERAIS"
"ALFREDO CHAVES","ESPIRITO SANTO"
"ALFREDO MARCONDES","SAO PAULO"
